col1,col2
18849,3660
477,9450
18758,12675
36079,13855
4058,27294
32108,10050
46347,31856
24363,37923
45026,30104
23705,37089
41968,47358
9208,971
21072,47847
44674,36184
12008,48856
25496,31145
38391,12284
12405,44926
15118,46892
36681,18340
30707,21694
47392,47414
10979,7445
7156,3153
49790,7621
12253,22287
42684,12151
23996,46643
19802,9571
24415,12340
18811,35024
39588,4286
46333,12531
22781,37231
44467,39532
632,10046
13755,8920
28994,5718
4271,46063
44621,27470
43610,45213
8582,995
43191,34067
6130,34999
44113,9913
32079,26675
40295,42347
1233,49353
26551,26107
4799,14229
31902,419
45616,37958
26904,42503
45200,11082
23753,41124
31548,19293
20995,29311
38069,30121
47172,19683
18522,16566
46985,46520
28432,26114
40358,47529
11681,27186
21414,41492
24562,5963
42304,38843
31508,28416
41583,11125
33641,46013
4045,42983
42377,48692
18392,4484
33407,31186
2133,26564
16597,34188
42544,43169
11032,44887
2524,41691
32722,7794
37026,13880
30194,12505
25580,27416
46144,35472
5154,26505
38652,38221
48926,36277
27746,12086
9201,2820
10496,4766
8209,10734
4996,33936
1129,44609
5171,39516
30076,6436
10241,35788
40511,21365
44109,46639
40065,44761
46946,16934
23849,42925
48840,39833
28110,7243
6148,8382
47697,486
13975,3755
46096,48489
35346,32015
38578,3040
14843,44226
40799,2560
15257,6234
42516,4585
12558,20570
31617,14873
11641,17895
40648,2046
34680,39849
37199,14135
43749,41549
48075,25094
39943,41724
45155,31393
7410,27445
26267,4276
36678,10039
776,34285
2814,37904
27323,6157
19732,44275
20313,6974
22727,27599
2388,920
14468,6753
48536,12723
32120,28658
42132,27512
31280,21318
29548,21491
19972,8938
27919,11749
36291,49149
1796,13436
746,14329
24573,48763
31252,12410
5311,25447
27413,44856
19876,6655
17090,22633
24241,19576
45556,46705
18461,45486
34513,17859
7158,46392
7463,10784
16371,14763
37871,5864
47391,26808
35208,43061
37661,49071
17260,7024
44064,49855
4210,29152
3831,19469
31728,43475
14267,742
41881,28701
19657,3447
27525,31393
18543,16136
48727,26364
22724,7416
18678,5824
45930,29189
24427,31763
42199,20071
19911,18572
12309,17627
21156,19655
9166,12328
35195,11313
40134,12466
22452,11837
12539,13832
43102,22134
35075,39716
38075,4167
32674,11140
33563,36799
36092,11038
10768,369
23034,48294
15825,3523
3963,24701
4120,22712
576,37956
2465,36329
15482,37647
3849,30704
9777,18899
45491,8021
42718,48823
39872,22817
21473,26170
44698,36949
20479,23158
43993,5601
18011,19431
9974,13438
28196,18321
9926,9781
24680,42879
